25,24000,48457,21500,26147,38721,34545,25764,33213,31785,34932,25962,35652,34409,0
26,25000,47918,23246,24700,38451,34346,26180,32937,30027,37404,26318,35822,33810,0
27,26000,46810,25041,23789,38310,34033,26576,33365,27954,39419,26534,36137,33209,0
28,27000,45240,26713,23500,38310,33628,26917,34450,25762,40795,26593,36571,32659,0
29,28000,43378,28092,23855,38447,33159,27186,36088,23659,41402,26484,37089,32207,0
30,29000,41404,29043,24818,38693,32694,27354,38110,21864,41177,26226,37628,31902,0
31,30000,39498,29478,26303,39023,32278,27403,40323,20543,40146,25846,38139,31768,0
32,31000,37854,29361,28153,39429,31929,27329,42527,19815,38406,25367,38580,31824,0
33,32000,36631,28703,30184,39862,31676,27147,44495,19760,36128,24842,38906,32062,0
34,33000,35947,27560,32213,40267,31553,26880,46033,20383,33535,24327,39085,32452,0
35,34000,35862,26044,34044,40626,31575,26531,47002,21626,30864,23865,39098,32970,0
36,35000,36384,24313,35491,40911,31740,26129,47301,23373,28378,23501,38937,33569,0
37,36000,37471,22527,36413,41081,32025,25731,46893,25448,26336,23274,38626,34177,0
38,37000,39028,20850,36720,41114,32420,25369,45818,27656,24929,23205,38191,34740,0
39,38000,40887,19455,36387,40999,32899,25070,44175,29784,24298,23310,37665,35205,0
40,39000,42869,18483,35440,40756,33396,24873,42130,31608,24516,23574,37112,35519,0
41,40000,44792,18032,33955,40406,33854,24807,39887,32949,25558,23966,36586,35656,0
42,41000,46460,18142,32090,39967,34237,24883,37656,33680,27326,24459,36136,35594,0
43,42000,47703,18801,30036,39498,34503,25087,35670,33723,29641,24996,35811,35341,0
44,43000,48394,19957,27985,39062,34616,25390,34130,33075,32267,25519,35640,34931,0
45,44000,48472,21493,26139,38694,34563,25773,33175,31803,34955,25980,35642,34399,0
46,45000,47932,23243,24688,38425,34356,26196,32902,30033,37438,26336,35817,33794,0
47,46000,46822,25042,23775,38286,34033,26597,33335,27949,39461,26550,36139,33190,0
48,47000,45249,26718,23485,38291,33619,26942,34429,25746,40839,26604,36578,32638,0
49,48000,43383,28101,23839,38436,33141,27211,36077,23634,41446,26490,37101,32186,0
50,49000,41404,29055,24804,38690,32669,27377,38111,21831,41215,26226,37645,31883,0
51,50000,39494,29492,26292,39029,32249,27422,40336,20507,40176,25841,38158,31753,0
52,51000,37845,29375,28146,39443,31897,27342,42551,19778,38424,25356,38600,31814,0
53,52000,36618,28716,30182,39883,31646,27153,44526,19726,36132,24827,38924,32059,0
54,53000,35932,27570,32216,40294,31526,26878,46070,20356,33525,24309,39100,32456,0
55,54000,35846,26052,34052,40656,31555,26521,47041,21608,30840,23846,39108,32981,0
56,55000,36368,24317,35503,40940,31728,26112,47337,23366,28343,23482,38942,33584,0
57,56000,37458,22526,36428,41108,32024,25708,46924,25453,26294,23257,38625,34196,0
58,57000,39018,20845,36737,41135,32427,25343,45840,27671,24884,23192,38184,34762,0
59,58000,40882,19446,36404,41013,32916,25043,44186,29810,24254,23303,37653,35226,0
60,59000,42868,18471,35454,40761,33420,24848,42130,31640,24477,23573,37096,35539,0
61,60000,44796,18019,33966,40402,33882,24787,39875,32984,25528,23971,36567,35671,0
62,61000,46468,18128,32097,39955,34266,24869,37633,33716,27308,24469,36117,35603,0
63,62000,47715,18788,30038,39479,34532,25080,35640,33755,29637,25010,35794,35344,0
64,63000,48408,19947,27983,39038,34641,25392,34094,33101,32277,25536,35626,34928,0
65,64000,48486,21485,26133,38668,34580,25783,33138,31820,34979,25999,35632,34388,0
