58,57000,34620,29023,19253,20902,47557,34132,18141,47058,37043,28241,17199,29454,0
59,58000,33823,32560,14211,20713,45376,35880,18158,41102,40263,28500,18608,27934,0
60,59000,32231,36190,11078,20843,42741,37336,19172,34395,42740,28532,20460,26574,0
61,60000,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
62,61000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
63,62000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
64,63000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
65,64000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
66,65000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
67,66000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30143,28029,0
68,67000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
69,68000,17749,34310,53059,27187,35772,30250,38521,25610,25155,23843,27922,31076,0
70,69000,19341,30679,56193,27058,38405,28793,37507,32317,22677,23810,26070,32437,0
71,70000,21563,27316,57130,26621,41274,27748,35596,39141,21176,24010,23932,33514,0
72,71000,24192,24555,55774,25923,44086,27215,32973,45396,20805,24423,21723,34199,0
73,72000,26979,22667,52237,25039,46528,27256,29902,50461,21599,25003,19677,34427,0
74,73000,29654,21829,46872,24045,48384,27873,26674,53858,23481,25699,17983,34172,0
75,74000,31948,22125,40227,23032,49495,29001,23604,55252,26269,26445,16798,33454,0
76,75000,33636,23528,32942,22117,49732,30515,21005,54499,29683,27161,16249,32355,0
77,76000,34555,25910,25709,21387,49065,32276,19124,51677,33392,27779,16383,30983,0
78,77000,34620,29023,19253,20902,47557,34132,18141,47058,37043,28241,17199,29454,0
79,78000,33823,32560,14211,20713,45376,35880,18158,41102,40263,28500,18608,27934,0
80,79000,32231,36190,11078,20843,42741,37336,19172,34395,42740,28532,20460,26574,0
81,80000,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
82,81000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
83,82000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
84,83000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
85,84000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
86,85000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
87,86000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30143,28029,0
88,87000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
89,88000,17749,34310,53059,27187,35772,30250,38521,25610,25155,23843,27922,31076,0
90,89000,19341,30679,56193,27058,38405,28793,37507,32317,22677,23810,26070,32437,0
91,90000,21563,27316,57130,26621,41274,27748,35596,39141,21176,24010,23932,33514,0
92,91000,24192,24555,55774,25923,44086,27215,32973,45396,20805,24423,21723,34199,0
93,92000,26979,22667,52237,25039,46528,27256,29902,50461,21599,25003,19677,34427,0
94,93000,29654,21829,46872,24045,48384,27873,26674,53858,23481,25699,17983,34172,0
95,94000,31948,22125,40227,23032,49495,29001,23604,55252,26269,26445,16798,33454,0
96,95000,33636,23528,32942,22117,49732,30515,21005,54499,29683,27161,16249,32355,0
97,96000,34555,25910,25709,21387,49065,32276,19124,51677,33392,27779,16383,30983,0
98,97000,34620,29023,19253,20902,47557,34132,18141,47058,37043,28241,17199,29454,0
99,98000,33823,32560,14211,20713,45376,35880,18158,41102,40263,28500,18608,27934,0
100,99000,32231,36190,11078,20843,42741,37336,19172,34395,42740,28532,20460,26574,0
101,100000,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
102,101000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
103,102000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
104,103000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
105,104000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
106,105000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
107,106000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30142,28029,0
108,107000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
