37,36000,37441,21625,41953,45158,34428,16301,50958,41061,6092,5737,31505,62582,5737,31505,62582,0
38,37000,37441,21625,41953,43907,39051,12775,44876,48370,4668,12807,21841,65534,12807,21841,65534,0
39,38000,37441,21625,41953,41161,43824,10441,37496,54511,5683,21806,13394,65278,21806,13394,65278,0
40,39000,37441,21625,41953,37144,48303,9549,29530,58892,9041,31882,6972,61827,31882,6972,61827,0
41,40000,37441,21625,41953,32171,52109,10198,21750,61090,14412,42080,3174,55516,42080,3174,55516,0
42,41000,37441,21625,41953,26838,54846,12261,14939,60885,21262,51344,2388,46997,51344,2388,46997,0
43,42000,37441,21625,41953,21692,56215,15546,9756,58301,28920,58767,4697,37099,58767,4697,37099,0
44,43000,37441,21625,41953,17155,56078,19805,6703,53586,36648,63655,9880,26752,63655,9880,26752,0
45,44000,37441,21625,41953,13667,54481,24584,6075,47203,43687,65535,17420,16983,65535,17420,16983,0
46,45000,37441,21625,41953,11609,51618,29336,7938,39792,49332,64206,26545,8799,64206,26545,8799,0
47,46000,37441,21625,41953,11192,47681,33679,12111,32055,53047,59792,36421,2949,59792,36421,2949,0
48,47000,37441,21625,41953,12452,43061,37194,18186,24752,54472,52726,46077,0,52726,46077,0,0
49,48000,37441,21625,41953,15197,38293,39523,25559,18614,53460,43735,54520,254,43735,54520,254,0
50,49000,37441,21625,41953,19207,33826,40410,33518,14233,50110,33670,60938,3698,33670,60938,3698,0
51,50000,37441,21625,41953,24171,30027,39761,41295,12028,44747,23477,64740,10000,23477,64740,10000,0
52,51000,37441,21625,41953,29492,27292,37706,48110,12225,37902,14212,65534,18511,14212,65534,18511,0
53,52000,37441,21625,41953,34636,25917,34431,53301,14803,30243,6783,63234,28405,6783,63234,28405,0
54,53000,37441,21625,41953,39173,26046,30180,56362,19515,22510,1885,58056,38756,1885,58056,38756,0
55,54000,37441,21625,41953,42663,27634,25409,56994,25899,15466,0,50520,48527,0,50520,48527,0
56,55000,37441,21625,41953,44734,30493,20649,55136,33317,9809,1320,41388,56727,1320,41388,56727,0
57,56000,37441,21625,41953,45160,34427,16300,50958,41061,6092,5737,31505,62582,5737,31505,62582,0
58,57000,37441,21625,41953,43905,39051,12776,44877,48370,4667,12807,21841,65535,12807,21841,65535,0
59,58000,37441,21625,41953,41162,43827,10438,37496,54512,5682,21806,13392,65279,21806,13392,65279,0
60,59000,37441,21625,41953,37144,48301,9551,29529,58892,9041,31882,6972,61826,31882,6972,61826,0
61,60000,37441,21625,41953,32170,52109,10200,21750,61090,14412,42080,3174,55516,42080,3174,55516,0
62,61000,37441,21625,41953,26839,54846,12261,14939,60886,21261,51344,2387,46998,51344,2387,46998,0
63,62000,37441,21625,41953,21692,56216,15545,9756,58301,28920,58767,4696,37100,58767,4696,37100,0
64,63000,37441,21625,41953,17154,56077,19807,6703,53586,36647,63655,9881,26752,63655,9881,26752,0
65,64000,37441,21625,41953,13668,54481,24583,6076,47203,43687,65534,17420,16984,65534,17420,16984,0
66,65000,37441,21625,41953,11609,51618,29335,7937,39793,49331,64206,26544,8800,64206,26544,8800,0
67,66000,37441,21625,41953,11191,47681,33680,12111,32055,53047,59791,36421,2949,59791,36421,2949,0
68,67000,37441,21625,41953,12453,43060,37194,18186,24752,54472,52726,46078,0,52726,46078,0,0
69,68000,37441,21625,41953,15197,38294,39523,25558,18615,53460,43736,54518,255,43736,54518,255,0
70,69000,37441,21625,41953,19207,33826,40410,33518,14233,50110,33669,60938,3698,33669,60938,3698,0
71,70000,37441,21625,41953,24170,30027,39761,41295,12029,44747,23477,64739,10000,23477,64739,10000,0
72,71000,37441,21625,41953,29493,27291,37707,48109,12226,37902,14213,65534,18510,14213,65534,18510,0
73,72000,37441,21625,41953,34635,25918,34431,53300,14803,30243,6783,63234,28405,6783,63234,28405,0
74,73000,37441,21625,41953,39173,26047,30180,56362,19515,22510,1886,58056,38756,1886,58056,38756,0
75,74000,37441,21625,41953,42665,27634,25407,56994,25899,15466,0,50520,48528,0,50520,48528,0
76,75000,37441,21625,41953,44735,30494,20648,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
77,76000,37441,21625,41953,45158,34426,16302,50958,41061,6092,5737,31506,62581,5737,31506,62581,0
78,77000,37441,21625,41953,43907,39052,12774,44876,48370,4668,12807,21841,65534,12807,21841,65534,0
79,78000,37441,21625,41953,41160,43825,10441,37496,54512,5682,21807,13392,65279,21807,13392,65279,0
80,79000,37441,21625,41953,37144,48301,9550,29530,58891,9041,31881,6973,61827,31881,6973,61827,0
81,80000,37441,21625,41953,32171,52111,10198,21750,61090,14413,42080,3173,55516,42080,3173,55516,0
82,81000,37441,21625,41953,26839,54845,12261,14939,60886,21262,51344,2387,46997,51344,2387,46997,0
83,82000,37441,21625,41953,21691,56215,15547,9756,58301,28920,58767,4696,37100,58767,4696,37100,0
84,83000,37441,21625,41953,17155,56079,19804,6703,53586,36648,63655,9880,26752,63655,9880,26752,0
85,84000,37441,21625,41953,13669,54481,24582,6076,47203,43687,65534,17420,16984,65534,17420,16984,0
86,85000,37441,21625,41953,11609,51618,29336,7937,39792,49332,64206,26545,8799,64206,26545,8799,0
87,86000,37441,21625,41953,11191,47682,33679,12111,32055,53046,59792,36421,2950,59792,36421,2950,0
88,87000,37441,21625,41953,12454,43061,37193,18185,24752,54473,52726,46078,0,52726,46078,0,0
89,88000,37441,21625,41953,15195,38293,39525,25558,18615,53460,43736,54518,254,43736,54518,254,0
90,89000,37441,21625,41953,19208,33826,40410,33518,14233,50110,33669,60938,3699,33669,60938,3699,0
91,90000,37441,21625,41953,24171,30028,39759,41295,12028,44748,23477,64739,10000,23477,64739,10000,0
92,91000,37441,21625,41953,29492,27291,37708,48109,12226,37902,14213,65534,18510,14213,65534,18510,0
93,92000,37441,21625,41953,34635,25918,34431,53301,14803,30243,6783,63234,28405,6783,63234,28405,0
94,93000,37441,21625,41953,39173,26047,30179,56362,19515,22511,1886,58056,38755,1886,58056,38755,0
95,94000,37441,21625,41953,42665,27634,25407,56994,25899,15466,0,50520,48528,0,50520,48528,0
96,95000,37441,21625,41953,44734,30493,20649,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
97,96000,37441,21625,41953,45159,34427,16301,50958,41060,6093,5737,31506,62581,5737,31506,62581,0
98,97000,37441,21625,41953,43907,39051,12774,44876,48370,4668,12807,21841,65534,12807,21841,65534,0
99,98000,37441,21625,41953,41160,43825,10440,37496,54512,5682,21807,13392,65279,21807,13392,65279,0
100,99000,37441,21625,41953,37144,48301,9550,29530,58891,9041,31881,6973,61827,31881,6973,61827,0
101,100000,37441,21625,41953,32171,52111,10197,21750,61090,14413,42080,3174,55516,42080,3174,55516,0
102,101000,37441,21625,41953,26839,54845,12262,14939,60886,21261,51344,2387,46997,51344,2387,46997,0
103,102000,37441,21625,41953,21692,56216,15545,9756,58301,28920,58767,4696,37100,58767,4696,37100,0
104,103000,37441,21625,41953,17154,56078,19805,6703,53586,36648,63655,9881,26752,63655,9881,26752,0
105,104000,37441,21625,41953,13667,54480,24584,6076,47203,43687,65534,17420,16983,65534,17420,16983,0
106,105000,37441,21625,41953,11609,51618,29336,7938,39793,49331,64206,26545,8800,64206,26545,8800,0
107,106000,37441,21625,41953,11192,47682,33679,12111,32055,53047,59792,36421,2949,59792,36421,2949,0
108,107000,37441,21625,41953,12453,43060,37194,18186,24752,54472,52726,46077,0,52726,46077,0,0
109,108000,37441,21625,41953,15197,38294,39523,25558,18615,53460,43735,54518,255,43735,54518,255,0
110,109000,37441,21625,41953,19207,33826,40410,33518,14233,50111,33670,60938,3698,33670,60938,3698,0
111,110000,37441,21625,41953,24171,30027,39761,41295,12029,44747,23477,64739,10000,23477,64739,10000,0
112,111000,37441,21625,41953,29493,27291,37708,48110,12226,37902,14213,65534,18511,14213,65534,18511,0
113,112000,37441,21625,41953,34635,25918,34430,53300,14803,30243,6783,63234,28405,6783,63234,28405,0
114,113000,37441,21625,41953,39173,26047,30180,56362,19515,22510,1886,58056,38756,1886,58056,38756,0
115,114000,37441,21625,41953,42665,27634,25407,56994,25899,15466,0,50519,48528,0,50519,48528,0
116,115000,37441,21625,41953,44735,30494,20648,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
117,116000,37441,21625,41953,45158,34426,16302,50958,41061,6092,5737,31506,62581,5737,31506,62581,0
118,117000,37441,21625,41953,43906,39052,12774,44876,48370,4668,12807,21841,65534,12807,21841,65534,0
119,118000,37441,21625,41953,41160,43825,10440,37496,54512,5682,21807,13392,65279,21807,13392,65279,0
120,119000,37441,21625,41953,37144,48301,9550,29530,58891,9041,31881,6973,61827,31881,6973,61827,0
121,120000,37441,21625,41953,32171,52111,10198,21750,61090,14412,42080,3173,55516,42080,3173,55516,0
122,121000,37441,21625,41953,26839,54845,12262,14939,60886,21262,51344,2387,46997,51344,2387,46997,0
123,122000,37441,21625,41953,21691,56215,15547,9756,58301,28920,58767,4696,37099,58767,4696,37099,0
124,123000,37441,21625,41953,17155,56079,19804,6703,53586,36648,63655,9880,26752,63655,9880,26752,0
125,124000,37441,21625,41953,13669,54481,24582,6076,47203,43687,65534,17420,16984,65534,17420,16984,0
126,125000,37441,21625,41953,11609,51618,29336,7937,39792,49332,64206,26545,8799,64206,26545,8799,0
127,126000,37441,21625,41953,11191,47682,33680,12111,32055,53046,59792,36421,2950,59792,36421,2950,0
128,127000,37441,21625,41953,12454,43061,37193,18185,24752,54473,52726,46078,0,52726,46078,0,0
129,128000,37441,21625,41953,15196,38293,39524,25558,18615,53460,43736,54518,254,43736,54518,254,0
130,129000,37441,21625,41953,19207,33826,40410,33518,14233,50110,33669,60938,3698,33669,60938,3698,0
131,130000,37441,21625,41953,24171,30028,39759,41295,12028,44748,23477,64739,10000,23477,64739,10000,0
132,131000,37441,21625,41953,29492,27291,37708,48109,12226,37902,14213,65534,18510,14213,65534,18510,0
133,132000,37441,21625,41953,34635,25918,34431,53301,14803,30243,6783,63234,28405,6783,63234,28405,0
134,133000,37441,21625,41953,39173,26047,30179,56362,19515,22511,1886,58056,38755,1886,58056,38755,0
135,134000,37441,21625,41953,42665,27634,25407,56994,25899,15466,0,50520,48528,0,50520,48528,0
136,135000,37441,21625,41953,44734,30493,20648,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
