135,134000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
136,135000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
137,136000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
138,137000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
139,138000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
140,139000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
141,140000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
142,141000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
143,142000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
144,143000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
145,144000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
146,145000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
147,146000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
148,147000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
149,148000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
150,149000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
151,150000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
152,151000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
153,152000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
154,153000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
155,154000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
156,155000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
157,156000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
158,157000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
159,158000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
160,159000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
161,160000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
162,161000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
163,162000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
164,163000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
165,164000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
166,165000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
167,166000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
168,167000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
169,168000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
170,169000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
171,170000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
172,171000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
